"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Barbados","2000","Female","over 24 year olds","Percent","1.14289"
"Barbados","2000","Male","over 24 year olds","Percent","0.96535"
"Barbados","2000","All genders","over 24 year olds","Percent","1.05823"
"Belarus","2009","Male","over 24 year olds","Percent","48.18769"
"Belarus","2009","Female","over 24 year olds","Percent","54.4286"
"Belarus","2009","All genders","over 24 year olds","Percent","51.65698"
"Belgium","2014","Female","over 24 year olds","Percent","31.84222"
"Belgium","2014","Male","over 24 year olds","Percent","31.24367"
"Belgium","2014","All genders","over 24 year olds","Percent","31.55278"
"Belgium","2013","Male","over 24 year olds","Percent","30.03215"
"Belgium","2013","Female","over 24 year olds","Percent","30.98568"
"Belgium","2013","All genders","over 24 year olds","Percent","30.52476"
"Belgium","2012","All genders","over 24 year olds","Percent","30.41778"
"Belgium","2012","Female","over 24 year olds","Percent","30.72151"
"Belgium","2012","Male","over 24 year olds","Percent","30.09285"
"Belgium","2011","Male","over 24 year olds","Percent","29.70051"
"Belgium","2011","Female","over 24 year olds","Percent","29.90479"
"Belgium","2011","All genders","over 24 year olds","Percent","29.80615"
"Belgium","2010","All genders","over 24 year olds","Percent","30.00144"
"Belgium","2010","Female","over 24 year olds","Percent","30.05078"
"Belgium","2010","Male","over 24 year olds","Percent","29.94849"
"Belgium","2009","Male","over 24 year olds","Percent","28.65638"
"Belgium","2009","Female","over 24 year olds","Percent","28.23868"
"Belgium","2009","All genders","over 24 year olds","Percent","28.44017"
"Belgium","2008","All genders","over 24 year olds","Percent","27.40498"
"Belgium","2008","Female","over 24 year olds","Percent","27.07222"
"Belgium","2008","Male","over 24 year olds","Percent","27.76242"
"Belgium","2006","Male","over 24 year olds","Percent","27.144"
"Belgium","2006","Female","over 24 year olds","Percent","26.38528"
"Belgium","2006","All genders","over 24 year olds","Percent","26.75052"
"Belize","2010","Male","over 24 year olds","Percent","5.87949"
"Belize","2010","Female","over 24 year olds","Percent","5.56085"
"Belize","2010","All genders","over 24 year olds","Percent","5.7185"
"Belize","2005","All genders","over 24 year olds","Percent","11.05403"
"Belize","2005","Female","over 24 year olds","Percent","10.86202"
"Belize","2005","Male","over 24 year olds","Percent","11.25991"
"Benin","2002","All genders","over 24 year olds","Percent","2.16139"
"Benin","2002","Female","over 24 year olds","Percent","0.80235"
"Benin","2002","Male","over 24 year olds","Percent","3.75467"
"Bermuda","2010","Female","over 24 year olds","Percent","41.29874"
"Bermuda","2010","All genders","over 24 year olds","Percent","37.36489"
"Bermuda","2010","Male","over 24 year olds","Percent","32.98764"
"Bermuda","2000","Male","over 24 year olds","Percent","27.27228"
"Bermuda","2000","All genders","over 24 year olds","Percent","27.27228"
"Bermuda","2000","Female","over 24 year olds","Percent","27.27228"
"Bhutan","2012","Female","over 24 year olds","Percent","2.56905"
"Bhutan","2012","Male","over 24 year olds","Percent","6.59343"
"Bhutan","2012","All genders","over 24 year olds","Percent","4.54776"
"Bolivia","2012","Female","over 24 year olds","Percent","22.76597"
"Bolivia","2012","Male","over 24 year olds","Percent","25.32827"
"Bolivia","2012","All genders","over 24 year olds","Percent","24.03224"
"Bolivia","2009","All genders","over 24 year olds","Percent","22.76959"
"Bolivia","2009","Male","over 24 year olds","Percent","24.65012"
"Bolivia","2009","Female","over 24 year olds","Percent","21.02771"
"Bolivia","2008","Female","over 24 year olds","Percent","18.69003"
"Bolivia","2008","Male","over 24 year olds","Percent","22.56739"
"Bolivia","2008","All genders","over 24 year olds","Percent","20.53512"
"Bolivia","2006","All genders","over 24 year olds","Percent","20.91688"
"Bolivia","2006","Male","over 24 year olds","Percent","22.7934"
"Bolivia","2006","Female","over 24 year olds","Percent","19.20283"
"Bolivia","2001","Female","over 24 year olds","Percent","11.92997"
"Bolivia","2001","Male","over 24 year olds","Percent","16.35181"
"Bolivia","2001","All genders","over 24 year olds","Percent","14.07772"
"Bosnia and Herzegovina","2014","All genders","over 24 year olds","Percent","11.30084"
"Bosnia and Herzegovina","2014","Male","over 24 year olds","Percent","12.63808"
"Bosnia and Herzegovina","2014","Female","over 24 year olds","Percent","10.08393"
"Bosnia and Herzegovina","2011","Female","over 24 year olds","Percent","5.53182"
"Bosnia and Herzegovina","2011","Male","over 24 year olds","Percent","6.86432"
"Bosnia and Herzegovina","2011","All genders","over 24 year olds","Percent","6.17053"
"Bosnia and Herzegovina","2010","All genders","over 24 year olds","Percent","5.72868"
"Bosnia and Herzegovina","2010","Male","over 24 year olds","Percent","6.38215"
"Bosnia and Herzegovina","2010","Female","over 24 year olds","Percent","5.12504"
"Brazil","2013","Male","over 24 year olds","Percent","11.10469"
"Brazil","2013","All genders","over 24 year olds","Percent","12.63157"
"Brazil","2013","Female","over 24 year olds","Percent","13.99299"
"Brazil","2012","Female","over 24 year olds","Percent","13.24935"
"Brazil","2012","All genders","over 24 year olds","Percent","11.9615"
"Brazil","2012","Male","over 24 year olds","Percent","10.51894"
"Brazil","2011","Male","over 24 year olds","Percent","10.10423"
"Brazil","2011","All genders","over 24 year olds","Percent","11.44956"
"Brazil","2011","Female","over 24 year olds","Percent","12.64609"
"Brazil","2010","Female","over 24 year olds","Percent","12.51467"
"Brazil","2010","Male","over 24 year olds","Percent","9.97199"
"Brazil","2010","All genders","over 24 year olds","Percent","11.2994"
"Brazil","2009","All genders","over 24 year olds","Percent","10.59687"
"Brazil","2009","Male","over 24 year olds","Percent","9.50754"
"Brazil","2009","Female","over 24 year olds","Percent","11.56659"
"Brazil","2008","Female","over 24 year olds","Percent","10.83581"
"Brazil","2008","Male","over 24 year olds","Percent","9.09023"
"Brazil","2008","All genders","over 24 year olds","Percent","10.01506"
"Brazil","2007","All genders","over 24 year olds","Percent","9.3327"
"Brazil","2007","Male","over 24 year olds","Percent","8.42728"
"Brazil","2007","Female","over 24 year olds","Percent","10.14061"
"Brazil","2006","Female","over 24 year olds","Percent","9.12119"
"Brazil","2006","Male","over 24 year olds","Percent","8.10297"
"Brazil","2006","All genders","over 24 year olds","Percent","8.6406"
"Brazil","2004","All genders","over 24 year olds","Percent","8.11464"
"Brazil","2004","Male","over 24 year olds","Percent","7.53762"
"Brazil","2004","Female","over 24 year olds","Percent","8.6289"
"Bulgaria","2014","Male","over 24 year olds","Percent","20.15373"
"Bulgaria","2014","Female","over 24 year olds","Percent","27.63025"
"Bulgaria","2014","All genders","over 24 year olds","Percent","24.06306"
"Bulgaria","2013","All genders","over 24 year olds","Percent","22.91971"
"Bulgaria","2013","Female","over 24 year olds","Percent","26.22396"
"Bulgaria","2013","Male","over 24 year olds","Percent","19.29771"
"Bulgaria","2012","Male","over 24 year olds","Percent","18.12347"
"Bulgaria","2012","Female","over 24 year olds","Percent","24.60257"
"Bulgaria","2012","All genders","over 24 year olds","Percent","21.51112"
"Bulgaria","2011","All genders","over 24 year olds","Percent","20.80996"
"Bulgaria","2011","Female","over 24 year olds","Percent","23.6131"
"Bulgaria","2011","Male","over 24 year olds","Percent","17.69292"
"Bulgaria","2010","Male","over 24 year olds","Percent","17.47617"
"Bulgaria","2010","Female","over 24 year olds","Percent","23.63328"
"Bulgaria","2010","All genders","over 24 year olds","Percent","20.71765"
"Bulgaria","2009","All genders","over 24 year olds","Percent","20.53099"
"Bulgaria","2009","Female","over 24 year olds","Percent","23.18179"
"Bulgaria","2009","Male","over 24 year olds","Percent","17.58469"
"Bulgaria","2008","Male","over 24 year olds","Percent","17.50939"
"Bulgaria","2008","Female","over 24 year olds","Percent","22.60105"
"Bulgaria","2008","All genders","over 24 year olds","Percent","20.18866"
"Bulgaria","2007","All genders","over 24 year olds","Percent","19.81607"
"Bulgaria","2007","Female","over 24 year olds","Percent","22.2241"
"Bulgaria","2007","Male","over 24 year olds","Percent","17.14447"
"Bulgaria","2006","Male","over 24 year olds","Percent","16.77098"
"Bulgaria","2006","Female","over 24 year olds","Percent","21.97226"
"Bulgaria","2006","All genders","over 24 year olds","Percent","19.50465"
"Bulgaria","2001","All genders","over 24 year olds","Percent","18.04557"
"Bulgaria","2001","Female","over 24 year olds","Percent","19.46971"
"Bulgaria","2001","Male","over 24 year olds","Percent","16.47987"
"Burkina Faso","2014","Male","over 24 year olds","Percent","0"
"Burkina Faso","2014","All genders","over 24 year olds","Percent","0"
"Burkina Faso","2014","Female","over 24 year olds","Percent","0"
"Burkina Faso","2007","Female","over 24 year olds","Percent","0"
"Burkina Faso","2007","All genders","over 24 year olds","Percent","0.16584"
"Burkina Faso","2007","Male","over 24 year olds","Percent","0.31814"
"Burkina Faso","2006","Male","over 24 year olds","Percent","2.83457"
"Burkina Faso","2006","All genders","over 24 year olds","Percent","1.83584"
"Burkina Faso","2006","Female","over 24 year olds","Percent","0.99404"
"Cambodia","2007","Female","over 24 year olds","Percent","0.79361"
"Cambodia","2007","All genders","over 24 year olds","Percent","1.46424"
"Cambodia","2007","Male","over 24 year olds","Percent","2.25799"
"Cameroon","2010","Female","over 24 year olds","Percent","0.72061"
"Cameroon","2010","All genders","over 24 year olds","Percent","1.44438"
"Cameroon","2010","Male","over 24 year olds","Percent","2.22566"
"Canada","2011","Female","over 24 year olds","Percent","50.62332"
"Canada","2011","Male","over 24 year olds","Percent","44.51299"
"Canada","2011","All genders","over 24 year olds","Percent","47.67457"
"Canada","2006","All genders","over 24 year olds","Percent","43.86327"
"Canada","2006","Male","over 24 year olds","Percent","41.77901"
"Canada","2006","Female","over 24 year olds","Percent","45.79662"
"Canada","2001","Female","over 24 year olds","Percent","37.92784"
"Canada","2001","Male","over 24 year olds","Percent","34.36816"
"Canada","2001","All genders","over 24 year olds","Percent","44.34036"
"Cayman Islands","2014","Male","over 24 year olds","Percent","37.73263"
"Cayman Islands","2014","Female","over 24 year olds","Percent","44.36094"
"Cayman Islands","2014","All genders","over 24 year olds","Percent","41.22643"
"Cayman Islands","2008","Female","over 24 year olds","Percent","40.81094"
"Cayman Islands","2008","Male","over 24 year olds","Percent","34.34293"
"Cayman Islands","2008","All genders","over 24 year olds","Percent","37.61651"
"Cayman Islands","2007","All genders","over 24 year olds","Percent","36.93346"
"Cayman Islands","2007","Male","over 24 year olds","Percent","35.74979"
"Cayman Islands","2007","Female","over 24 year olds","Percent","38.16798"
"Cayman Islands","2006","Female","over 24 year olds","Percent","25.18721"
"Cayman Islands","2006","Male","over 24 year olds","Percent","22.28403"
"Cayman Islands","2006","All genders","over 24 year olds","Percent","23.76184"
"Cayman Islands","2005","All genders","over 24 year olds","Percent","24.49486"
"Cayman Islands","2005","Male","over 24 year olds","Percent","23.35326"
"Cayman Islands","2005","Female","over 24 year olds","Percent","25.63291"
"Cayman Islands","2004","Female","over 24 year olds","Percent","24.98622"
"Cayman Islands","2004","Male","over 24 year olds","Percent","26.87714"
"Cayman Islands","2004","All genders","over 24 year olds","Percent","25.88495"
"Chad","2004","Female","over 24 year olds","Percent","0.93535"
"Chad","2004","Male","over 24 year olds","Percent","5.81587"
"Chad","2004","All genders","over 24 year olds","Percent","3.22367"
"Chile","2013","All genders","over 24 year olds","Percent","18.42193"
"Chile","2013","Male","over 24 year olds","Percent","18.37461"
"Chile","2013","Female","over 24 year olds","Percent","17.68581"
"Chile","2011","Female","over 24 year olds","Percent","15.24816"
"Chile","2011","Male","over 24 year olds","Percent","16.34313"
"Chile","2011","All genders","over 24 year olds","Percent","15.81546"
"Chile","2010","All genders","over 24 year olds","Percent","18.08044"
"Chile","2010","Male","over 24 year olds","Percent","18.24"
"Chile","2010","Female","over 24 year olds","Percent","17.93283"
"Chile","2009","Female","over 24 year olds","Percent","25.1133"
"Chile","2009","Male","over 24 year olds","Percent","27.06573"
"Chile","2009","All genders","over 24 year olds","Percent","26.06296"
"Chile","2008","All genders","over 24 year olds","Percent","20.92427"
"Chile","2008","Male","over 24 year olds","Percent","21.70224"
"Chile","2008","Female","over 24 year olds","Percent","20.18369"
"Chile","2007","Female","over 24 year olds","Percent","13.87173"
"Chile","2007","Male","over 24 year olds","Percent","16.3533"
"Chile","2007","All genders","over 24 year olds","Percent","15.05154"
"Chile","2004","All genders","over 24 year olds","Percent","13.15652"
"Chile","2004","Male","over 24 year olds","Percent","13.72309"
"Chile","2004","Female","over 24 year olds","Percent","12.6133"
"China","2010","Female","over 24 year olds","Percent","7.59915"
"China","2010","All genders","over 24 year olds","Percent","8.81204"
"China","2010","Male","over 24 year olds","Percent","10.00033"
"Colombia","2011","All genders","over 24 year olds","Percent","19.75533"
"Colombia","2011","Male","over 24 year olds","Percent","19.20684"
"Colombia","2011","Female","over 24 year olds","Percent","20.25705"
"Colombia","2010","Female","over 24 year olds","Percent","9.64569"
"Colombia","2010","Male","over 24 year olds","Percent","10.06819"
"Colombia","2010","All genders","over 24 year olds","Percent","9.84747"
"Colombia","2009","All genders","over 24 year olds","Percent","9.48232"
"Colombia","2009","Male","over 24 year olds","Percent","9.62441"
"Colombia","2009","Female","over 24 year olds","Percent","9.35244"
"Colombia","2008","Female","over 24 year olds","Percent","9.74021"
"Colombia","2008","Male","over 24 year olds","Percent","10.46566"
"Colombia","2008","All genders","over 24 year olds","Percent","10.08671"
"Colombia","2007","All genders","over 24 year olds","Percent","9.73111"
"Colombia","2007","Male","over 24 year olds","Percent","10.18284"
"Colombia","2007","Female","over 24 year olds","Percent","9.3447"
"Colombia","2006","Female","over 24 year olds","Percent","9.28664"
"Colombia","2006","Male","over 24 year olds","Percent","10.31695"
"Colombia","2006","All genders","over 24 year olds","Percent","9.75555"
"Colombia","2005","All genders","over 24 year olds","Percent","10.06695"
"Colombia","2005","Male","over 24 year olds","Percent","10.55435"
"Colombia","2005","Female","over 24 year olds","Percent","9.64626"
"Colombia","2004","Female","over 24 year olds","Percent","11.77767"
"Colombia","2004","Male","over 24 year olds","Percent","12.31463"
"Colombia","2004","All genders","over 24 year olds","Percent","12.02947"
"Costa Rica","2014","Male","over 24 year olds","Percent","23.40091"
"Costa Rica","2014","Female","over 24 year olds","Percent","23.57891"
"Costa Rica","2014","All genders","over 24 year olds","Percent","23.49547"
"Costa Rica","2012","All genders","over 24 year olds","Percent","20.98714"
"Costa Rica","2012","Female","over 24 year olds","Percent","21.21015"
"Costa Rica","2012","Male","over 24 year olds","Percent","20.73893"
"Costa Rica","2011","Male","over 24 year olds","Percent","20.28378"
"Costa Rica","2011","Female","over 24 year olds","Percent","20.82062"
"Costa Rica","2011","All genders","over 24 year olds","Percent","20.56726"
"Costa Rica","2010","Female","over 24 year olds","Percent","20.12017"
"Costa Rica","2010","Male","over 24 year olds","Percent","19.87825"
"Costa Rica","2010","All genders","over 24 year olds","Percent","20.0054"
"Costa Rica","2009","All genders","over 24 year olds","Percent","20.91745"
"Costa Rica","2009","Male","over 24 year olds","Percent","20.72353"
"Costa Rica","2009","Female","over 24 year olds","Percent","21.09288"
"Costa Rica","2008","Female","over 24 year olds","Percent","20.29798"
"Costa Rica","2008","Male","over 24 year olds","Percent","20.52638"
"Costa Rica","2008","All genders","over 24 year olds","Percent","20.40575"
"Costa Rica","2007","All genders","over 24 year olds","Percent","17.58885"
"Costa Rica","2007","Male","over 24 year olds","Percent","17.83529"
"Costa Rica","2007","Female","over 24 year olds","Percent","17.36586"
"Croatia","2011","Male","over 24 year olds","Percent","18.25339"
"Croatia","2011","All genders","over 24 year olds","Percent","18.29156"
"Croatia","2011","Female","over 24 year olds","Percent","18.32559"
"Croatia","2001","Female","over 24 year olds","Percent","12.84262"
"Croatia","2001","All genders","over 24 year olds","Percent","13.95893"
"Croatia","2001","Male","over 24 year olds","Percent","15.22705"
"Cuba","2012","Female","over 24 year olds","Percent","16.95053"
"Cuba","2012","Male","over 24 year olds","Percent","13.14961"
"Cuba","2012","All genders","over 24 year olds","Percent","15.08281"
"Cuba","2002","All genders","over 24 year olds","Percent","9.35904"
"Cuba","2002","Male","over 24 year olds","Percent","9.19066"
"Cuba","2002","Female","over 24 year olds","Percent","9.52335"
"Cyprus","2014","Male","over 24 year olds","Percent","33.99529"
"Cyprus","2014","All genders","over 24 year olds","Percent","35.21619"
"Cyprus","2014","Female","over 24 year olds","Percent","36.31771"
"Cyprus","2013","Female","over 24 year olds","Percent","34.55273"
"Cyprus","2013","All genders","over 24 year olds","Percent","34.23312"
"Cyprus","2013","Male","over 24 year olds","Percent","33.87891"
"Cyprus","2012","Male","over 24 year olds","Percent","33.6633"
"Cyprus","2012","All genders","over 24 year olds","Percent","34.10452"
"Cyprus","2012","Female","over 24 year olds","Percent","34.5025"
"Cyprus","2011","Female","over 24 year olds","Percent","29.35167"
"Cyprus","2011","All genders","over 24 year olds","Percent","29.86303"
"Cyprus","2011","Male","over 24 year olds","Percent","30.43237"
"Cyprus","2010","All genders","over 24 year olds","Percent","30.88688"
"Cyprus","2010","Female","over 24 year olds","Percent","30.44525"
"Cyprus","2010","Male","over 24 year olds","Percent","31.34374"
"Cyprus","2009","Male","over 24 year olds","Percent","30.08034"
"Cyprus","2009","Female","over 24 year olds","Percent","28.7935"
"Cyprus","2009","All genders","over 24 year olds","Percent","29.42636"
"Cyprus","2008","All genders","over 24 year olds","Percent","29.91406"
"Cyprus","2008","Female","over 24 year olds","Percent","29.29307"
"Cyprus","2008","Male","over 24 year olds","Percent","30.5654"
"Cyprus","2007","Male","over 24 year olds","Percent","29.49655"
"Cyprus","2007","Female","over 24 year olds","Percent","27.98474"
"Cyprus","2007","All genders","over 24 year olds","Percent","28.71801"
"Cyprus","2006","All genders","over 24 year olds","Percent","26.4095"
"Cyprus","2006","Female","over 24 year olds","Percent","25.29423"
"Cyprus","2006","Male","over 24 year olds","Percent","27.60458"
"Cyprus","2005","Male","over 24 year olds","Percent","26.44381"
"Cyprus","2005","Female","over 24 year olds","Percent","23.43621"
"Cyprus","2005","All genders","over 24 year olds","Percent","24.88507"
"Cyprus","2004","All genders","over 24 year olds","Percent","25.5007"
"Cyprus","2004","Female","over 24 year olds","Percent","23.58522"
"Cyprus","2004","Male","over 24 year olds","Percent","27.58218"
"Czech Republic","2014","Female","over 24 year olds","Percent","18.27626"
"Czech Republic","2014","Male","over 24 year olds","Percent","19.70456"
"Czech Republic","2014","All genders","over 24 year olds","Percent","18.96725"
"Czech Republic","2013","All genders","over 24 year olds","Percent","18.28116"
"Czech Republic","2013","Male","over 24 year olds","Percent","19.22763"
"Czech Republic","2013","Female","over 24 year olds","Percent","17.3943"
"Czech Republic","2012","Female","over 24 year olds","Percent","16.41179"
"Czech Republic","2012","Male","over 24 year olds","Percent","18.33886"
"Czech Republic","2012","All genders","over 24 year olds","Percent","17.34349"
"Czech Republic","2011","All genders","over 24 year olds","Percent","16.52274"
"Czech Republic","2011","Male","over 24 year olds","Percent","17.89754"
"Czech Republic","2011","Female","over 24 year olds","Percent","15.24057"
"Czech Republic","2010","Female","over 24 year olds","Percent","13.8208"
"Czech Republic","2010","Male","over 24 year olds","Percent","16.95136"
