"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Azerbaijan","2014","Male","over 24 year olds","Percent","34.3459"
"Azerbaijan","2014","Female","over 24 year olds","Percent","26.12095"
"Azerbaijan","2013","Female","over 24 year olds","Percent","26.12926"
"Azerbaijan","2013","Male","over 24 year olds","Percent","34.28834"
"Azerbaijan","2013","All genders","over 24 year olds","Percent","30.03313"
"Azerbaijan","2012","All genders","over 24 year olds","Percent","30.03635"
"Azerbaijan","2012","Male","over 24 year olds","Percent","34.30754"
"Azerbaijan","2012","Female","over 24 year olds","Percent","26.12116"
"Azerbaijan","2011","Female","over 24 year olds","Percent","26.09499"
"Azerbaijan","2011","Male","over 24 year olds","Percent","34.26799"
"Azerbaijan","2011","All genders","over 24 year olds","Percent","30.00222"
"Azerbaijan","2010","All genders","over 24 year olds","Percent","29.96823"
"Azerbaijan","2010","Male","over 24 year olds","Percent","34.26445"
"Azerbaijan","2010","Female","over 24 year olds","Percent","26.03324"
"Azerbaijan","2009","Female","over 24 year olds","Percent","25.51319"
"Azerbaijan","2009","Male","over 24 year olds","Percent","34.53246"
"Azerbaijan","2009","All genders","over 24 year olds","Percent","29.82192"
"Azerbaijan","2008","All genders","over 24 year olds","Percent","33.3576"
"Azerbaijan","2008","Male","over 24 year olds","Percent","40.65967"
"Azerbaijan","2008","Female","over 24 year olds","Percent","26.82731"
"Azerbaijan","2007","Female","over 24 year olds","Percent","26.77886"
"Azerbaijan","2007","Male","over 24 year olds","Percent","40.59536"
"Azerbaijan","2007","All genders","over 24 year olds","Percent","33.29057"
"Azerbaijan","1999","All genders","over 24 year olds","Percent","32.59636"
"Azerbaijan","1999","Male","over 24 year olds","Percent","39.77281"
"Azerbaijan","1999","Female","over 24 year olds","Percent","26.25788"
"Bahamas","2010","All genders","over 24 year olds","Percent","31.25806"
"Bahamas","2010","Female","over 24 year olds","Percent","34.66374"
"Bahamas","2010","Male","over 24 year olds","Percent","27.4248"
"Bahamas","2000","Male","over 24 year olds","Percent","17.85386"
"Bahamas","2000","Female","over 24 year olds","Percent","20.22464"
"Bahamas","2000","All genders","over 24 year olds","Percent","19.17625"
"Bahrain","2010","Female","over 24 year olds","Percent","43.22086"
"Bahrain","2010","All genders","over 24 year olds","Percent","40.11995"
"Bahrain","2010","Male","over 24 year olds","Percent","38.59999"
"Bangladesh","2001","All genders","over 24 year olds","Percent","4.20865"
"Bangladesh","2001","Female","over 24 year olds","Percent","3.48744"
"Bangladesh","2001","Male","over 24 year olds","Percent","4.91579"
"Barbados","2000","Male","over 24 year olds","Percent","14.16687"
"Barbados","2000","Female","over 24 year olds","Percent","17.06283"
"Barbados","2000","All genders","over 24 year olds","Percent","15.68184"
"Belarus","2009","All genders","over 24 year olds","Percent","63.37622"
"Belarus","2009","Female","over 24 year olds","Percent","63.47039"
"Belarus","2009","Male","over 24 year olds","Percent","63.25835"
"Belgium","2014","All genders","over 24 year olds","Percent","32.80339"
"Belgium","2014","Female","over 24 year olds","Percent","32.72781"
"Belgium","2014","Male","over 24 year olds","Percent","32.88409"
"Belgium","2013","Male","over 24 year olds","Percent","32.73644"
"Belgium","2013","Female","over 24 year olds","Percent","33.21785"
"Belgium","2013","All genders","over 24 year olds","Percent","32.98514"
"Belgium","2012","All genders","over 24 year olds","Percent","32.71225"
"Belgium","2012","Female","over 24 year olds","Percent","32.81845"
"Belgium","2012","Male","over 24 year olds","Percent","32.59865"
"Belgium","2011","Male","over 24 year olds","Percent","32.26054"
"Belgium","2011","Female","over 24 year olds","Percent","32.05892"
"Belgium","2011","All genders","over 24 year olds","Percent","32.15628"
"Belgium","2010","All genders","over 24 year olds","Percent","31.74045"
"Belgium","2010","Female","over 24 year olds","Percent","31.70035"
"Belgium","2010","Male","over 24 year olds","Percent","31.78344"
"Belgium","2009","Male","over 24 year olds","Percent","30.90623"
"Belgium","2009","Female","over 24 year olds","Percent","30.34893"
"Belgium","2009","All genders","over 24 year olds","Percent","30.61776"
"Belgium","2008","All genders","over 24 year olds","Percent","29.38723"
"Belgium","2008","Female","over 24 year olds","Percent","29.03785"
"Belgium","2008","Male","over 24 year olds","Percent","29.76253"
"Belgium","2006","Male","over 24 year olds","Percent","28.44514"
"Belgium","2006","Female","over 24 year olds","Percent","27.98339"
"Belgium","2006","All genders","over 24 year olds","Percent","28.20567"
"Belize","2010","All genders","over 24 year olds","Percent","15.43312"
"Belize","2010","Female","over 24 year olds","Percent","15.80646"
"Belize","2010","Male","over 24 year olds","Percent","15.05187"
"Benin","2002","Female","over 24 year olds","Percent","0.80235"
"Benin","2002","Male","over 24 year olds","Percent","3.75467"
"Benin","2002","All genders","over 24 year olds","Percent","2.16139"
"Bermuda","2010","Male","over 24 year olds","Percent","47.29769"
"Bermuda","2010","All genders","over 24 year olds","Percent","51.00596"
"Bermuda","2010","Female","over 24 year olds","Percent","54.3386"
"Bermuda","2000","Female","over 24 year olds","Percent","51.23542"
"Bermuda","2000","All genders","over 24 year olds","Percent","51.23542"
"Bermuda","2000","Male","over 24 year olds","Percent","51.23542"
"Bhutan","2012","All genders","over 24 year olds","Percent","5.38001"
"Bhutan","2012","Female","over 24 year olds","Percent","2.89705"
"Bhutan","2012","Male","over 24 year olds","Percent","7.947"
"Bolivia","2012","Male","over 24 year olds","Percent","0"
"Bolivia","2012","All genders","over 24 year olds","Percent","0"
"Bolivia","2012","Female","over 24 year olds","Percent","0"
"Bolivia","2009","Female","over 24 year olds","Percent","21.02771"
"Bolivia","2009","All genders","over 24 year olds","Percent","22.76959"
"Bolivia","2009","Male","over 24 year olds","Percent","24.65012"
"Bolivia","2008","Male","over 24 year olds","Percent","22.56739"
"Bolivia","2008","All genders","over 24 year olds","Percent","20.53512"
"Bolivia","2008","Female","over 24 year olds","Percent","18.69003"
"Bolivia","2006","Female","over 24 year olds","Percent","19.20283"
"Bolivia","2006","Male","over 24 year olds","Percent","22.7934"
"Bolivia","2006","All genders","over 24 year olds","Percent","20.91688"
"Bolivia","2001","All genders","over 24 year olds","Percent","16.83499"
"Bolivia","2001","Male","over 24 year olds","Percent","18.83255"
"Bolivia","2001","Female","over 24 year olds","Percent","14.94841"
"Bosnia and Herzegovina","2011","Female","over 24 year olds","Percent","8.20479"
"Bosnia and Herzegovina","2011","All genders","over 24 year olds","Percent","9.84786"
"Bosnia and Herzegovina","2011","Male","over 24 year olds","Percent","11.63255"
"Bosnia and Herzegovina","2010","Male","over 24 year olds","Percent","10.54159"
"Bosnia and Herzegovina","2010","All genders","over 24 year olds","Percent","9.22543"
"Bosnia and Herzegovina","2010","Female","over 24 year olds","Percent","8.00965"
"Brazil","2013","Female","over 24 year olds","Percent","13.99299"
"Brazil","2013","Male","over 24 year olds","Percent","11.10469"
"Brazil","2013","All genders","over 24 year olds","Percent","12.63157"
"Brazil","2012","All genders","over 24 year olds","Percent","0"
"Brazil","2012","Male","over 24 year olds","Percent","0"
"Brazil","2012","Female","over 24 year olds","Percent","0"
"Brazil","2011","Female","over 24 year olds","Percent","12.64609"
"Brazil","2011","Male","over 24 year olds","Percent","10.10423"
"Brazil","2011","All genders","over 24 year olds","Percent","11.44956"
"Brazil","2010","All genders","over 24 year olds","Percent","11.2994"
"Brazil","2010","Male","over 24 year olds","Percent","9.97199"
"Brazil","2010","Female","over 24 year olds","Percent","12.51467"
"Brazil","2009","Female","over 24 year olds","Percent","11.56659"
"Brazil","2009","Male","over 24 year olds","Percent","9.50754"
"Brazil","2009","All genders","over 24 year olds","Percent","10.59687"
"Brazil","2008","All genders","over 24 year olds","Percent","10.01506"
"Brazil","2008","Male","over 24 year olds","Percent","9.09023"
"Brazil","2008","Female","over 24 year olds","Percent","10.83581"
"Brazil","2007","Female","over 24 year olds","Percent","10.14061"
"Brazil","2007","Male","over 24 year olds","Percent","8.42728"
"Brazil","2007","All genders","over 24 year olds","Percent","9.3327"
"Brazil","2006","All genders","over 24 year olds","Percent","8.6406"
"Brazil","2006","Male","over 24 year olds","Percent","8.10297"
"Brazil","2006","Female","over 24 year olds","Percent","9.12119"
"Burkina Faso","2014","Male","over 24 year olds","Percent","0"
"Burkina Faso","2014","Female","over 24 year olds","Percent","0"
"Burkina Faso","2014","All genders","over 24 year olds","Percent","0"
"Burkina Faso","2007","All genders","over 24 year olds","Percent","0.26706"
"Burkina Faso","2007","Female","over 24 year olds","Percent","0.1014"
"Burkina Faso","2007","Male","over 24 year olds","Percent","0.44888"
"Burkina Faso","2006","Male","over 24 year olds","Percent","2.83457"
"Burkina Faso","2006","Female","over 24 year olds","Percent","0.99404"
"Burkina Faso","2006","All genders","over 24 year olds","Percent","1.83584"
"Cambodia","2009","All genders","over 24 year olds","Percent","2.04204"
"Cambodia","2009","Female","over 24 year olds","Percent","0.96275"
"Cambodia","2009","Male","over 24 year olds","Percent","3.32505"
"Cambodia","2008","Male","over 24 year olds","Percent","2.96554"
"Cambodia","2008","Female","over 24 year olds","Percent","0.91438"
"Cambodia","2008","All genders","over 24 year olds","Percent","1.85405"
"Cambodia","2007","All genders","over 24 year olds","Percent","1.83187"
"Cambodia","2007","Female","over 24 year olds","Percent","0.9789"
"Cambodia","2007","Male","over 24 year olds","Percent","2.8414"
"Cameroon","2010","Female","over 24 year olds","Percent","8.82289"
"Cameroon","2010","Male","over 24 year olds","Percent","18.56495"
"Cameroon","2010","All genders","over 24 year olds","Percent","13.50781"
"Canada","2011","All genders","over 24 year olds","Percent","59.64031"
"Canada","2011","Female","over 24 year olds","Percent","58.62284"
"Canada","2011","Male","over 24 year olds","Percent","60.73122"
"Canada","2006","Male","over 24 year olds","Percent","57.90419"
"Canada","2006","Female","over 24 year olds","Percent","54.19884"
"Canada","2006","All genders","over 24 year olds","Percent","55.98193"
"Cayman Islands","2014","Male","over 24 year olds","Percent","55.07398"
"Cayman Islands","2014","All genders","over 24 year olds","Percent","54.78829"
"Cayman Islands","2014","Female","over 24 year olds","Percent","54.53196"
"Cayman Islands","2008","Female","over 24 year olds","Percent","47.59159"
"Cayman Islands","2008","All genders","over 24 year olds","Percent","45.16998"
"Cayman Islands","2008","Male","over 24 year olds","Percent","42.68836"
"Cayman Islands","2007","Male","over 24 year olds","Percent","44.53257"
"Cayman Islands","2007","All genders","over 24 year olds","Percent","45.19909"
"Cayman Islands","2007","Female","over 24 year olds","Percent","45.89422"
"Cayman Islands","2006","Female","over 24 year olds","Percent","36.91181"
"Cayman Islands","2006","All genders","over 24 year olds","Percent","37.72367"
"Cayman Islands","2006","Male","over 24 year olds","Percent","38.56539"
"Cayman Islands","2005","All genders","over 24 year olds","Percent","39.75594"
"Cayman Islands","2005","Female","over 24 year olds","Percent","41.02848"
"Cayman Islands","2005","Male","over 24 year olds","Percent","38.47944"
"Cayman Islands","2004","Male","over 24 year olds","Percent","31.00038"
"Cayman Islands","2004","Female","over 24 year olds","Percent","31.35336"
"Cayman Islands","2004","All genders","over 24 year olds","Percent","31.1856"
"Chad","2004","All genders","over 24 year olds","Percent","0"
"Chad","2004","Male","over 24 year olds","Percent","0"
"Chad","2004","Female","over 24 year olds","Percent","0"
"Chile","2013","All genders","over 24 year olds","Percent","0"
"Chile","2013","Female","over 24 year olds","Percent","0"
"Chile","2013","Male","over 24 year olds","Percent","0"
"Chile","2011","Male","over 24 year olds","Percent","0"
"Chile","2011","Female","over 24 year olds","Percent","0"
"Chile","2011","All genders","over 24 year olds","Percent","0"
"Chile","2010","All genders","over 24 year olds","Percent","0"
"Chile","2010","Female","over 24 year olds","Percent","0"
"Chile","2010","Male","over 24 year olds","Percent","0"
"Chile","2009","Male","over 24 year olds","Percent","0"
"Chile","2009","Female","over 24 year olds","Percent","0"
"Chile","2009","All genders","over 24 year olds","Percent","0"
"Chile","2008","All genders","over 24 year olds","Percent","0"
"Chile","2008","Female","over 24 year olds","Percent","0"
"Chile","2008","Male","over 24 year olds","Percent","0"
"Chile","2007","Male","over 24 year olds","Percent","0"
"Chile","2007","Female","over 24 year olds","Percent","0"
"Chile","2007","All genders","over 24 year olds","Percent","0"
"Chile","2004","All genders","over 24 year olds","Percent","13.15652"
"Chile","2004","Female","over 24 year olds","Percent","12.6133"
"Chile","2004","Male","over 24 year olds","Percent","13.72309"
"China","2000","Male","over 24 year olds","Percent","5.40475"
"China","2000","Female","over 24 year olds","Percent","3.08291"
"China","2000","All genders","over 24 year olds","Percent","4.26802"
"Colombia","2014","Male","over 24 year olds","Percent","18.38892"
"Colombia","2014","Female","over 24 year olds","Percent","20.91326"
"Colombia","2014","All genders","over 24 year olds","Percent","19.70505"
"Colombia","2013","All genders","over 24 year olds","Percent","21.88025"
"Colombia","2013","Female","over 24 year olds","Percent","21.05131"
"Colombia","2013","Male","over 24 year olds","Percent","22.64021"
"Colombia","2012","Male","over 24 year olds","Percent","19.64957"
"Colombia","2012","Female","over 24 year olds","Percent","20.84311"
"Colombia","2012","All genders","over 24 year olds","Percent","20.2769"
"Colombia","2011","All genders","over 24 year olds","Percent","0"
"Colombia","2011","Female","over 24 year olds","Percent","0"
"Colombia","2011","Male","over 24 year olds","Percent","0"
"Colombia","2010","Male","over 24 year olds","Percent","0"
"Colombia","2010","Female","over 24 year olds","Percent","0"
"Colombia","2010","All genders","over 24 year olds","Percent","0"
"Colombia","2009","All genders","over 24 year olds","Percent","0"
"Colombia","2009","Female","over 24 year olds","Percent","0"
"Colombia","2009","Male","over 24 year olds","Percent","0"
"Colombia","2008","Male","over 24 year olds","Percent","0"
"Colombia","2008","Female","over 24 year olds","Percent","0"
"Colombia","2008","All genders","over 24 year olds","Percent","0"
"Colombia","2007","All genders","over 24 year olds","Percent","0"
"Colombia","2007","Female","over 24 year olds","Percent","0"
"Colombia","2007","Male","over 24 year olds","Percent","0"
"Colombia","2006","Male","over 24 year olds","Percent","0"
"Colombia","2006","All genders","over 24 year olds","Percent","0"
"Colombia","2006","Female","over 24 year olds","Percent","0"
"Colombia","2005","Female","over 24 year olds","Percent","0"
"Colombia","2005","All genders","over 24 year olds","Percent","0"
"Colombia","2005","Male","over 24 year olds","Percent","0"
"Colombia","2004","All genders","over 24 year olds","Percent","0"
"Colombia","2004","Female","over 24 year olds","Percent","0"
"Colombia","2004","Male","over 24 year olds","Percent","0"
"Costa Rica","2014","All genders","over 24 year olds","Percent","0"
"Costa Rica","2014","Female","over 24 year olds","Percent","0"
"Costa Rica","2014","Male","over 24 year olds","Percent","0"
"Costa Rica","2012","Male","over 24 year olds","Percent","20.73893"
"Costa Rica","2012","Female","over 24 year olds","Percent","21.21015"
"Costa Rica","2012","All genders","over 24 year olds","Percent","20.98714"
"Costa Rica","2011","All genders","over 24 year olds","Percent","0"
"Costa Rica","2011","Female","over 24 year olds","Percent","0"
"Costa Rica","2011","Male","over 24 year olds","Percent","0"
"Costa Rica","2010","Male","over 24 year olds","Percent","0"
"Costa Rica","2010","Female","over 24 year olds","Percent","0"
"Costa Rica","2010","All genders","over 24 year olds","Percent","0"
"Costa Rica","2009","All genders","over 24 year olds","Percent","0"
"Costa Rica","2009","Female","over 24 year olds","Percent","0"
"Costa Rica","2009","Male","over 24 year olds","Percent","0"
"Costa Rica","2008","Male","over 24 year olds","Percent","0"
"Costa Rica","2008","Female","over 24 year olds","Percent","0"
"Costa Rica","2008","All genders","over 24 year olds","Percent","0"
"Costa Rica","2007","All genders","over 24 year olds","Percent","0"
"Costa Rica","2007","Female","over 24 year olds","Percent","0"
"Costa Rica","2007","Male","over 24 year olds","Percent","0"
"Croatia","2011","Male","over 24 year olds","Percent","0"
"Croatia","2011","Female","over 24 year olds","Percent","0"
"Croatia","2011","All genders","over 24 year olds","Percent","0"
"Croatia","2001","All genders","over 24 year olds","Percent","0"
"Croatia","2001","Female","over 24 year olds","Percent","0"
"Croatia","2001","Male","over 24 year olds","Percent","0"
"Cuba","2012","Female","over 24 year olds","Percent","31.97739"
"Cuba","2012","All genders","over 24 year olds","Percent","30.69346"
"Cuba","2012","Male","over 24 year olds","Percent","29.36452"
"Cuba","2002","Male","over 24 year olds","Percent","9.19066"
"Cuba","2002","All genders","over 24 year olds","Percent","9.35904"
"Cuba","2002","Female","over 24 year olds","Percent","9.52335"
"Cyprus","2014","Female","over 24 year olds","Percent","38.89845"
"Cyprus","2014","Male","over 24 year olds","Percent","35.3687"
"Cyprus","2014","All genders","over 24 year olds","Percent","37.22429"
"Cyprus","2013","All genders","over 24 year olds","Percent","35.75474"
"Cyprus","2013","Male","over 24 year olds","Percent","34.60918"
"Cyprus","2013","Female","over 24 year olds","Percent","36.78837"
"Cyprus","2012","Female","over 24 year olds","Percent","36.73895"
"Cyprus","2012","Male","over 24 year olds","Percent","34.48775"
"Cyprus","2012","All genders","over 24 year olds","Percent","35.67134"
"Cyprus","2011","Male","over 24 year olds","Percent","33.63834"
"Cyprus","2011","Female","over 24 year olds","Percent","34.4068"
"Cyprus","2011","All genders","over 24 year olds","Percent","34.04319"
"Cyprus","2010","All genders","over 24 year olds","Percent","32.55004"
"Cyprus","2010","Female","over 24 year olds","Percent","32.87029"
"Cyprus","2010","Male","over 24 year olds","Percent","32.21876"
"Cyprus","2009","Male","over 24 year olds","Percent","30.71043"
"Cyprus","2009","Female","over 24 year olds","Percent","31.03418"
"Cyprus","2009","All genders","over 24 year olds","Percent","30.87496"
"Cyprus","2008","All genders","over 24 year olds","Percent","31.28347"
"Cyprus","2008","Female","over 24 year olds","Percent","31.34282"
"Cyprus","2008","Male","over 24 year olds","Percent","31.22122"
"Cyprus","2007","Female","over 24 year olds","Percent","31.22543"
"Cyprus","2007","All genders","over 24 year olds","Percent","30.94157"
"Cyprus","2007","Male","over 24 year olds","Percent","30.64017"
"Cyprus","2006","Male","over 24 year olds","Percent","28.33374"
"Cyprus","2006","All genders","over 24 year olds","Percent","28.57071"
"Cyprus","2006","Female","over 24 year olds","Percent","28.79185"
"Cyprus","2005","Female","over 24 year olds","Percent","27.40678"
"Cyprus","2005","All genders","over 24 year olds","Percent","27.29633"
"Cyprus","2005","Male","over 24 year olds","Percent","27.17751"
"Cyprus","2004","Male","over 24 year olds","Percent","28.44673"
"Cyprus","2004","All genders","over 24 year olds","Percent","27.67972"
"Cyprus","2004","Female","over 24 year olds","Percent","26.97388"
"Czech Republic","2014","Male","over 24 year olds","Percent","0"
"Czech Republic","2014","All genders","over 24 year olds","Percent","0"
"Czech Republic","2014","Female","over 24 year olds","Percent","0"
"Czech Republic","2013","Female","over 24 year olds","Percent","19.60547"
"Czech Republic","2013","All genders","over 24 year olds","Percent","19.95704"
"Czech Republic","2013","Male","over 24 year olds","Percent","20.33224"
"Czech Republic","2012","Male","over 24 year olds","Percent","19.535"
"Czech Republic","2012","All genders","over 24 year olds","Percent","19.0093"
"Czech Republic","2012","Female","over 24 year olds","Percent","18.51723"
"Czech Republic","2011","Female","over 24 year olds","Percent","17.35847"
"Czech Republic","2011","All genders","over 24 year olds","Percent","18.17567"
"Czech Republic","2011","Male","over 24 year olds","Percent","19.0519"
"Czech Republic","2010","Male","over 24 year olds","Percent","17.98754"
"Czech Republic","2010","All genders","over 24 year olds","Percent","16.90547"
"Czech Republic","2010","Female","over 24 year olds","Percent","15.89547"
"Czech Republic","2009","Female","over 24 year olds","Percent","14.68072"
"Czech Republic","2009","All genders","over 24 year olds","Percent","15.71768"
"Czech Republic","2009","Male","over 24 year olds","Percent","16.82944"
"Czech Republic","2008","Male","over 24 year olds","Percent","15.8347"
"Czech Republic","2008","All genders","over 24 year olds","Percent","14.61936"
"Czech Republic","2008","Female","over 24 year olds","Percent","13.49211"
"Czech Republic","2007","Female","over 24 year olds","Percent","12.66134"
"Czech Republic","2007","All genders","over 24 year olds","Percent","14.09374"
"Czech Republic","2007","Male","over 24 year olds","Percent","15.64726"
"Czech Republic","2006","Male","over 24 year olds","Percent","15.71163"
"Czech Republic","2006","Female","over 24 year olds","Percent","12.57819"
"Czech Republic","2006","All genders","over 24 year olds","Percent","14.07909"
"Democratic Republic of the Congo","2013","Female","over 24 year olds","Percent","0"
"Democratic Republic of the Congo","2013","Male","over 24 year olds","Percent","0"
"Democratic Republic of the Congo","2013","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2014","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2014","Female","over 24 year olds","Percent","0"
"Dominican Republic","2014","Male","over 24 year olds","Percent","0"
"Dominican Republic","2013","Male","over 24 year olds","Percent","0"
"Dominican Republic","2013","Female","over 24 year olds","Percent","0"
"Dominican Republic","2013","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2012","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2012","Female","over 24 year olds","Percent","0"
"Dominican Republic","2012","Male","over 24 year olds","Percent","0"
"Dominican Republic","2011","Male","over 24 year olds","Percent","0"
"Dominican Republic","2011","Female","over 24 year olds","Percent","0"
"Dominican Republic","2011","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2010","All genders","over 24 year olds","Percent","0"
"Dominican Republic","2010","Female","over 24 year olds","Percent","0"
"Dominican Republic","2010","Male","over 24 year olds","Percent","0"
"Dominican Republic","2007","Male","over 24 year olds","Percent","0"
"Dominican Republic","2007","Female","over 24 year olds","Percent","0"
"Dominican Republic","2007","All genders","over 24 year olds","Percent","0"
"Ecuador","2014","Female","over 24 year olds","Percent","11.88884"
"Ecuador","2014","Male","over 24 year olds","Percent","11.55151"
"Ecuador","2014","All genders","over 24 year olds","Percent","11.72843"
"Ecuador","2013","All genders","over 24 year olds","Percent","14.33003"
"Ecuador","2013","Male","over 24 year olds","Percent","14.4955"
"Ecuador","2013","Female","over 24 year olds","Percent","14.18044"
"Ecuador","2010","Female","over 24 year olds","Percent","12.62251"
"Ecuador","2010","Male","over 24 year olds","Percent","12.04923"
